0.715570,0.615637,0.559779,0.048767,0.026241,0.025129
0.778489,0.645418,0.582791,0.016195,0.017111,0.011949
0.752511,0.664957,0.611348,0.016105,0.000002,0.004611
0.520541,0.456155,0.426154,0.026913,0.011983,0.005012
0.518414,0.453684,0.423946,0.012589,0.001149,0.003464
0.538158,0.480335,0.448997,0.005720,0.008293,0.011248
0.358629,0.320582,0.306588,0.016054,0.002142,0.002455
0.878449,0.786971,0.718117,0.026064,0.038115,0.033696
1.409017,1.274856,1.154462,0.042839,0.069840,0.056844
0.921106,0.815748,0.746724,0.036874,0.010126,0.006398
1.225350,1.070053,0.963245,0.013537,0.001337,0.003074
0.931708,0.824363,0.751893,0.033463,0.010246,0.005035
1.955533,1.730804,1.549568,0.042530,0.065373,0.049665
1.077494,0.944079,0.863040,0.047714,0.017833,0.010983
0.715836,0.584762,0.529326,0.031895,0.029373,0.018320
0.442061,0.372445,0.349667,0.038018,0.027047,0.016597
0.146250,0.118914,0.125985,0.029170,0.020057,0.011874
0.047130,0.037955,0.050825,0.013027,0.006655,0.003316
0.897393,0.790209,0.726005,0.063512,0.058481,0.049617
0.933418,0.826919,0.755593,0.015152,0.004041,0.002428
0.625890,0.545384,0.504382,0.036317,0.019711,0.011082
1.504887,1.337424,1.203122,0.037730,0.055741,0.044728
1.049749,0.935629,0.858443,0.027739,0.001788,0.006855
0.601117,0.502388,0.462401,0.043441,0.033086,0.020751
1.745446,1.544342,1.390802,0.052543,0.070565,0.056324
2.353460,2.098152,1.884929,0.033979,0.076930,0.059495
1.445925,1.252391,1.121123,0.068491,0.033948,0.033737
1.536017,1.315026,1.165644,0.016948,0.003939,0.002515
1.081943,0.934394,0.841754,0.055088,0.034029,0.023421
1.050854,0.905071,0.816309,0.033168,0.018874,0.011558
